save_name,avg_recall,search_duration,total_duration
gpu_non_opt-k100-query43,0.000930,6682,7219
gpu_shared_mem-k100-query43,0.000930,5543,6054
gpu_eucdist_opt-k100-query43,0.000930,3726,4209
gpu_bloom_pq-k100-query43,0.049767,6143,6619
gpu_bloom_smmh-k100-query43,0.007442,4478,5332
cpu-k100-query44,0.050000,92562,0
gpu_non_opt-k100-query44,0.001818,7338,7911
gpu_shared_mem-k100-query44,0.001818,6199,6673
gpu_eucdist_opt-k100-query44,0.001818,4182,4658
gpu_bloom_pq-k100-query44,0.050000,5621,6101
gpu_bloom_smmh-k100-query44,0.005909,4189,5050
cpu-k100-query45,0.049556,97726,0
gpu_non_opt-k100-query45,0.002000,7556,8250
gpu_shared_mem-k100-query45,0.002000,5585,6124
gpu_eucdist_opt-k100-query45,0.002000,3301,3750
gpu_bloom_pq-k100-query45,0.049556,5757,6169
gpu_bloom_smmh-k100-query45,0.014889,4644,5458
cpu-k100-query46,0.049130,97539,0
gpu_non_opt-k100-query46,0.001304,7493,8113
gpu_shared_mem-k100-query46,0.001087,6042,6613
gpu_eucdist_opt-k100-query46,0.001087,3605,4155
gpu_bloom_pq-k100-query46,0.049130,5758,6332
gpu_bloom_smmh-k100-query46,0.012174,4800,5690
cpu-k100-query47,0.049362,98723,0
gpu_non_opt-k100-query47,0.001915,6722,7357
gpu_shared_mem-k100-query47,0.001702,5401,5838
gpu_eucdist_opt-k100-query47,0.001702,3259,3719
gpu_bloom_pq-k100-query47,0.049362,5866,6357
gpu_bloom_smmh-k100-query47,0.010638,3878,4717
cpu-k100-query48,0.048958,101694,0
gpu_non_opt-k100-query48,0.001875,6452,7011
gpu_shared_mem-k100-query48,0.001875,5124,5595
gpu_eucdist_opt-k100-query48,0.001875,3966,4422
gpu_bloom_pq-k100-query48,0.048958,6523,6977
gpu_bloom_smmh-k100-query48,0.011875,4613,5439
cpu-k100-query49,0.048571,102481,0
gpu_non_opt-k100-query49,0.001224,7128,7680
gpu_shared_mem-k100-query49,0.001224,5950,6516
gpu_eucdist_opt-k100-query49,0.001020,4600,5130
gpu_bloom_pq-k100-query49,0.048571,6818,7353
gpu_bloom_smmh-k100-query49,0.013061,5597,6568
cpu-k100-query50,0.048000,106482,0
gpu_non_opt-k100-query50,0.001200,7399,7946
gpu_shared_mem-k100-query50,0.000800,5962,6405
gpu_eucdist_opt-k100-query50,0.001200,4301,4780
gpu_bloom_pq-k100-query50,0.047200,6299,6718
gpu_bloom_smmh-k100-query50,0.010800,4656,5535
cpu-k100-query51,0.047647,111601,0
gpu_non_opt-k100-query51,0.001176,7455,8249
gpu_shared_mem-k100-query51,0.000980,6454,7002
gpu_eucdist_opt-k100-query51,0.001176,4058,4620
gpu_bloom_pq-k100-query51,0.047647,6689,7305
gpu_bloom_smmh-k100-query51,0.009608,5098,6070
cpu-k100-query52,0.047500,113303,0
gpu_non_opt-k100-query52,0.001538,6554,7132
gpu_shared_mem-k100-query52,0.001346,5340,5822
gpu_eucdist_opt-k100-query52,0.001538,3636,4085
gpu_bloom_pq-k100-query52,0.047500,5881,6337
gpu_bloom_smmh-k100-query52,0.012500,3835,4660
cpu-k100-query53,0.047547,112071,0
gpu_non_opt-k100-query53,0.001887,6449,6967
gpu_shared_mem-k100-query53,0.001887,5416,5878
gpu_eucdist_opt-k100-query53,0.001887,3537,4077
gpu_bloom_pq-k100-query53,0.047547,6833,7320
gpu_bloom_smmh-k100-query53,0.015849,4238,5166
cpu-k100-query54,0.048518,115550,0
gpu_non_opt-k100-query54,0.002963,6412,7000
gpu_shared_mem-k100-query54,0.002963,5427,5945
gpu_eucdist_opt-k100-query54,0.002963,3551,4004
gpu_bloom_pq-k100-query54,0.048518,5764,6169
gpu_bloom_smmh-k100-query54,0.015185,4140,5066
cpu-k100-query55,0.048182,114170,0
gpu_non_opt-k100-query55,0.002545,7188,7755
gpu_shared_mem-k100-query55,0.002545,5451,5979
gpu_eucdist_opt-k100-query55,0.002364,5080,5660
gpu_bloom_pq-k100-query55,0.048182,8829,9935
gpu_bloom_smmh-k100-query55,0.016909,6550,8663
cpu-k100-query56,0.048393,127806,0
gpu_non_opt-k100-query56,0.001786,7332,8031
gpu_shared_mem-k100-query56,0.001786,5099,5579
gpu_eucdist_opt-k100-query56,0.001786,3141,3565
